provincia,region_natural,informalidad_2024,informalidad_2025,no_remunerado_2024,no_remunerado_2025
Azuay,Sierra,48.8,47.2,8.5,9.9
Bolivar,Sierra,75.6,77.2,19.4,14.6
Cañar,Sierra,58.8,56.4,27.1,13.5
Carchi,Sierra,58.4,60.4,12.2,18.2
Cotopaxi,Sierra,69.6,63.1,27.8,22.4
Chimborazo,Sierra,71.6,68.1,26.9,22.8
El Oro,Costa,38.1,43.3,4.4,5.7
Esmeraldas,Costa,65.0,61.5,10.8,7.0
Guayas,Costa,51.5,51.9,2.9,2.9
Imbabura,Sierra,55.1,54.2,8.7,8.0
Loja,Sierra,60.0,60.0,16.0,16.2
Los Rios,Costa,51.0,51.4,4.9,3.3
Manabi,Costa,64.4,61.7,4.6,4.9
Morona Santiago,Amazonia,83.3,87.4,35.3,42.0
Napo,Amazonia,77.7,81.5,34.5,34.3
Pastaza,Amazonia,70.3,66.3,27.4,24.0
Pichincha,Sierra,28.6,28.4,4.0,4.3
Tungurahua,Sierra,50.5,52.0,15.1,15.8
Zamora Chinchipe,Amazonia,72.4,63.3,22.6,19.6
Galapagos,Insular,15.3,16.2,5.1,3.2
Sucumbios,Amazonia,70.3,61.5,17.0,14.6
Orellana,Amazonia,83.0,77.1,38.5,37.9
Santo Domingo,Costa,61.1,54.6,6.9,5.3
Santa Elena,Costa,65.8,62.9,3.1,3.6
